"File","FullPath","Extension","Risk","Disqualifiers","HitCount"
"ALLREXX.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ALLREXX.CBL",".CBL","HIGH","C3","46"
"ARNE.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ARNE.CBL",".CBL","LOW","NONE","0"
"ASK-FIP.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ASK-FIP.CBL",".CBL","HIGH","C3","9"
"ASVI024.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\ASVI024.CBL",".CBL","HIGH","B-FILEIO,C3","65"
"AXALBEL.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXALBEL.CBL",".CBL","HIGH","C3","9"
"AXAUTGT.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXAUTGT.CBL",".CBL","MEDIUM","B-FILEIO","2"
"AXBLBEL.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXBLBEL.CBL",".CBL","HIGH","C3","9"
"AXBRIMPM.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXBRIMPM.CBL",".CBL","HIGH","C3,B-FILEIO","11"
"AXBRIMPS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXBRIMPS.CBL",".CBL","HIGH","B-FILEIO,C3","15"
"AXBUTGT.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\AXBUTGT.CBL",".CBL","HIGH","C3","9"
"BDANETTO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDANETTO.CBL",".CBL","LOW","NONE","0"
"BDFKAFO.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDFKAFO.CBL",".CBL","HIGH","C3","14"
"BDHBSNG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHBSNG.CBL",".CBL","HIGH","C3","15"
"BDHETIK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHETIK.CBL",".CBL","HIGH","C3,B-FILEIO","71"
"BDHLTXT.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHLTXT.CBL",".CBL","HIGH","C3","17"
"BDHMARK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHMARK.CBL",".CBL","HIGH","C3","21"
"BDHSAST.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHSAST.CBL",".CBL","HIGH","C3","18"
"BDHSASV.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHSASV.CBL",".CBL","HIGH","C3","31"
"BDHSIGN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDHSIGN.CBL",".CBL","HIGH","C3","37"
"BDVBSNG.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVBSNG.CBL",".CBL","HIGH","C3","9"
"BDVETIK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVETIK.CBL",".CBL","HIGH","C3","16"
"BDVLTXT.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVLTXT.CBL",".CBL","HIGH","C3","8"
"BDVMARK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVMARK.CBL",".CBL","HIGH","C3","8"
"BDVSAST.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVSAST.CBL",".CBL","HIGH","C3","13"
"BDVSASV.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVSASV.CBL",".CBL","HIGH","C3","6"
"BDVSIGN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BDVSIGN.CBL",".CBL","HIGH","C3","11"
"BHBETIN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BHBETIN.CBL",".CBL","HIGH","C3","19"
"BHBPLAS.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BHBPLAS.CBL",".CBL","HIGH","C3","20"
"BHBVINN.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BHBVINN.CBL",".CBL","HIGH","C3","20"
"BIABELA.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BIABELA.CBL",".CBL","HIGH","C3","31"
"BIABLOM.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BIABLOM.CBL",".CBL","HIGH","C3","28"
"BIADOFF.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\BIADOFF.CBL",".CBL","HIGH","C3","9"
