"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","aahkuaj","aahkuaj","aahkuaj.CBL"
"DBM","aahmafo","aahmafo","aahmafo.CBL"
"DBM","aavtkon","aavtkon","aavtkon.CBL"
"DBM","aavvare","aavvare","aavvare.CBL"
"DBM","AAAFKVV","AAAFKVV","AAAFKVV.CBL"
"DBM","AAAFMB1","AAAFMB1","AAAFMB1.CBL"
"DBM","AAAKCSV","AAAKCSV","AAAKCSV.CBL"
"DBM","AAAKTPL","AAAKTPL","AAAKTPL.CBL"
"DBM","AAAKUN2","AAAKUN2","AAAKUN2.CBL"
"DBM","AAAKUND","AAAKUND","AAAKUND.CBL"
"DBM","AAAM005","AAAM005","AAAM005.CBL"
"DBM","AAAM006","AAAM006","AAAM006.CBL"
"DBM","AAAM008","AAAM008","AAAM008.CBL"
"DBM","AAAM024","AAAM024","AAAM024.CBL"
"DBM","AAAM025","AAAM025","AAAM025.CBL"
"DBM","AAAM035","AAAM035","AAAM035.CBL"
"DBM","AAAM046","AAAM046","AAAM046.CBL"
"DBM","AAAM048","AAAM048","AAAM048.CBL"
"DBM","AAAM049","AAAM049","AAAM049.CBL"
"DBM","AAAM054","AAAM054","AAAM054.CBL"
"DBM","AAAM055","AAAM055","AAAM055.CBL"
"DBM","AAAM0XX","AAAM0XX","AAAM0XX.CBL"
"DBM","AAAMARE","AAAMARE","AAAMARE.CBL"
"DBM","AAAMASO","AAAMASO","AAAMASO.CBL"
"DBM","AAAMLEV","AAAMLEV","AAAMLEV.CBL"
"DBM","AAAMPCA","AAAMPCA","AAAMPCA.CBL"
"DBM","AAAPIMN","AAAPIMN","AAAPIMN.CBL"
"DBM","AAAPIMU","AAAPIMU","AAAPIMU.CBL"
"DBM","AABAGR1","AABAGR1","AABAGR1.CBL"
"DBM","AABAGR2","AABAGR2","AABAGR2.CBL"
"DBM","AABAGR3","AABAGR3","AABAGR3.CBL"
"DBM","AABAGR4","AABAGR4","AABAGR4.CBL"
"DBM","AABAKTI","AABAKTI","AABAKTI.CBL"
"DBM","AABBEHO","AABBEHO","AABBEHO.CBL"
"DBM","AABBEVE","AABBEVE","AABBEVE.CBL"
"DBM","AABBHAG","AABBHAG","AABBHAG.CBL"
"DBM","AABBHAG1","AABBHAG1","AABBHAG1.CBL"
"DBM","AABBRIMP","AABBRIMP","AABBRIMP.CBL"
"DBM","AABBYBH","AABBYBH","AABBYBH.CBL"
"DBM","AABBYLE","AABBYLE","AABBYLE.CBL"
"DBM","AABBYLV","AABBYLV","AABBYLV.CBL"
"DBM","AABBYVG","AABBYVG","AABBYVG.CBL"
"DBM","AABDATO","AABDATO","AABDATO.CBL"
"DBM","AABDIGI","AABDIGI","AABDIGI.CBL"
"DBM","AABELMA","AABELMA","AABELMA.CBL"
"DBM","AABELMA3","AABELMA3","AABELMA3.CBL"
"DBM","AABELMA4","AABELMA4","AABELMA4.CBL"
"DBM","AABELMA5","AABELMA5","AABELMA5.CBL"
"DBM","AABELMAZ","AABELMAZ","AABELMAZ.CBL"
"DBM","AABER999","AABER999","AABER999.CBL"
"DBM","AABERAL","AABERAL","AABERAL.CBL"
"DBM","AABERNO","AABERNO","AABERNO.CBL"
"DBM","AABERST","AABERST","AABERST.CBL"
"DBM","AABESTEN","AABESTEN","AABESTEN.CBL"
"DBM","AABFAFG","AABFAFG","AABFAFG.CBL"
"DBM","AABFAFS","AABFAFS","AABFAFS.CBL"
"DBM","AABFAIN","AABFAIN","AABFAIN.CBL"
"DBM","AABFASC","AABFASC","AABFASC.CBL"
"DBM","AABFKAV","AABFKAV","AABFKAV.CBL"
"DBM","AABFKKA","AABFKKA","AABFKKA.CBL"
"DBM","AABFKVE","AABFKVE","AABFKVE.CBL"
"DBM","AABFMBH","AABFMBH","AABFMBH.CBL"
"DBM","AABFMEF","AABFMEF","AABFMEF.CBL"
"DBM","AABFUMA","AABFUMA","AABFUMA.CBL"
"DBM","AABGJAK","AABGJAK","AABGJAK.CBL"
"DBM","AABGJAP","AABGJAP","AABGJAP.CBL"
"DBM","AABGJAX","AABGJAX","AABGJAX.CBL"
"DBM","AABHJKT","AABHJKT","AABHJKT.CBL"
"DBM","AABIFAK","AABIFAK","AABIFAK.CBL"
