"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","dohcbld","dohcbld","dohcbld.CBL"
"DBM","DOACBLD","DOACBLD","DOACBLD.CBL"
"DBM","DOBCBLD","DOBCBLD","DOBCBLD.CBL"
"DBM","DOBMOLI","DOBMOLI","DOBMOLI.CBL"
"DBM","DOHCBLD","DOHCBLD","DOHCBLD.CBL"
"DBM","DOHCHK","DOHCHK","DOHCHK.CBL"
"DBM","DOHCHK2","DOHCHK2","DOHCHK2.CBL"
"DBM","DOHCHK3","DOHCHK3","DOHCHK3.CBL"
"DBM","DOHCHK4","DOHCHK4","DOHCHK4.CBL"
"DBM","DOHCHK5","DOHCHK5","DOHCHK5.CBL"
"DBM","DOHCHK6","DOHCHK6","DOHCHK6.CBL"
"DBM","DOHSCAN","DOHSCAN","DOHSCAN.CBL"
"DBM","GMACNCT","GMACNCT","GMACNCT.CBL"
"DBM","GMACURT","GMACURT","GMACURT.CBL"
"DBM","GMASQLB","GMASQLB","GMASQLB.CBL"
"DBM","GMATITP","GMATITP","GMATITP.CBL"
"DBM","GMFTRAP","GMFTRAP","GMFTRAP.CBL"
"DBM","SQLKODE","SQLKODE","SQLKODE.CBL"
"DBM","TPBSCAN","TPBSCAN","TPBSCAN.CBL"
