"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","gmffell","gmffell","gmffell.CBL"
"DBM","GmhQMFV","GmhQMFV","GmhQMFV.CBL"
"DBM","GMAAKTI","GMAAKTI","GMAAKTI.CBL"
"DBM","GMACNCT","GMACNCT","GMACNCT.CBL"
"DBM","GMACOMP","GMACOMP","GMACOMP.CBL"
"DBM","GMACURT","GMACURT","GMACURT.CBL"
"DBM","GMAFELL","GMAFELL","GMAFELL.CBL"
"DBM","GMALOGF2","GMALOGF2","GMALOGF2.CBL"
"DBM","GMALYSE","GMALYSE","GMALYSE.CBL"
"DBM","GMAOPPS","GMAOPPS","GMAOPPS.CBL"
"DBM","GMAPRTR","GMAPRTR","GMAPRTR.CBL"
"DBM","GMASQLB","GMASQLB","GMASQLB.CBL"
"DBM","GMASQLD","GMASQLD","GMASQLD.CBL"
"DBM","GMASQLL","GMASQLL","GMASQLL.CBL"
"DBM","GMASQLO","GMASQLO","GMASQLO.CBL"
"DBM","GMASQLT","GMASQLT","GMASQLT.CBL"
"DBM","GMATEXT","GMATEXT","GMATEXT.CBL"
"DBM","GMFAJFU","GMFAJFU","GMFAJFU.CBL"
"DBM","GMFAJGR","GMFAJGR","GMFAJGR.CBL"
"DBM","GMFAJHP","GMFAJHP","GMFAJHP.CBL"
"DBM","GMFAJHV","GMFAJHV","GMFAJHV.CBL"
"DBM","GMFAJNI","GMFAJNI","GMFAJNI.CBL"
"DBM","GMFAJPR","GMFAJPR","GMFAJPR.CBL"
"DBM","GMFAJRE","GMFAJRE","GMFAJRE.CBL"
"DBM","GMFAJRY","GMFAJRY","GMFAJRY.CBL"
"DBM","GMFAVDE","GMFAVDE","GMFAVDE.CBL"
"DBM","GMFFELL","GMFFELL","GMFFELL.CBL"
"DBM","GMFPOSO","GMFPOSO","GMFPOSO.CBL"
"DBM","GMFPRNT","GMFPRNT","GMFPRNT.CBL"
"DBM","GMFPRTX","GMFPRTX","GMFPRTX.CBL"
"DBM","GMFSQLF","GMFSQLF","GMFSQLF.CBL"
"DBM","GMFTRAP","GMFTRAP","GMFTRAP.CBL"
"DBM","GMHAJBR","GMHAJBR","GMHAJBR.CBL"
"DBM","GMHMENY","GMHMENY","GMHMENY.CBL"
"DBM","GMHPRT1","GMHPRT1","GMHPRT1.CBL"
"DBM","GMHPRT3","GMHPRT3","GMHPRT3.CBL"
"DBM","GMHPRTE","GMHPRTE","GMHPRTE.CBL"
"DBM","GMHQMFA","GMHQMFA","GMHQMFA.CBL"
"DBM","GMHQMFC","GMHQMFC","GMHQMFC.CBL"
"DBM","GMHQMFK","GMHQMFK","GMHQMFK.CBL"
"DBM","GMHQMFM","GMHQMFM","GMHQMFM.CBL"
"DBM","GMHQMFV","GMHQMFV","GMHQMFV.CBL"
"DBM","GMHQMFX","GMHQMFX","GMHQMFX.CBL"
"DBM","GMSTART","GMSTART","GMSTART.CBL"
"DBM","GMSUSER","GMSUSER","GMSUSER.CBL"
"DBM","GMVAJBR","GMVAJBR","GMVAJBR.CBL"
"DBM","GMVPRT3","GMVPRT3","GMVPRT3.CBL"
"DBM","GMVPRTE","GMVPRTE","GMVPRTE.CBL"
"DBM","GMVQMFA","GMVQMFA","GMVQMFA.CBL"
"DBM","GMVQMFK","GMVQMFK","GMVQMFK.CBL"
"DBM","GMVQMFM","GMVQMFM","GMVQMFM.CBL"
"DBM","GMVQMFV","GMVQMFV","GMVQMFV.CBL"
"DBM","GMVQMFX","GMVQMFX","GMVQMFX.CBL"
"DBM","GMVUS01","GMVUS01","GMVUS01.CBL"
"DBM","ILALKTN","ILALKTN","ILALKTN.CBL"
"DBM","ILALKTO","ILALKTO","ILALKTO.CBL"
"DBM","ILAREBE","ILAREBE","ILAREBE.CBL"
"DBM","ILAXKTO","ILAXKTO","ILAXKTO.CBL"
"DBM","ILBADR2","ILBADR2","ILBADR2.CBL"
"DBM","ILBDBCS1","ILBDBCS1","ILBDBCS1.CBL"
"DBM","ILBDBCSV","ILBDBCSV","ILBDBCSV.CBL"
"DBM","ILBFULMA","ILBFULMA","ILBFULMA.CBL"
"DBM","ILBKFKT","ILBKFKT","ILBKFKT.CBL"
"DBM","ILBKTAJ","ILBKTAJ","ILBKTAJ.CBL"
"DBM","ILBLKTO","ILBLKTO","ILBLKTO.CBL"
"DBM","ILBMKUP","ILBMKUP","ILBMKUP.CBL"
"DBM","ILBSKAE","ILBSKAE","ILBSKAE.CBL"
"DBM","ILBSKAN","ILBSKAN","ILBSKAN.CBL"
"DBM","ILBSKAT","ILBSKAT","ILBSKAT.CBL"
"DBM","ILBUTBMK","ILBUTBMK","ILBUTBMK.CBL"
"DBM","ILBUTBXX","ILBUTBXX","ILBUTBXX.CBL"
"DBM","ILFFIKK","ILFFIKK","ILFFIKK.CBL"
"DBM","ILHFATR","ILHFATR","ILHFATR.CBL"
"DBM","ILHFSKK","ILHFSKK","ILHFSKK.CBL"
"DBM","ILHLITR","ILHLITR","ILHLITR.CBL"
"DBM","ILHLKTO","ILHLKTO","ILHLKTO.CBL"
"DBM","ILHMKTO","ILHMKTO","ILHMKTO.CBL"
"DBM","ILHPTOT","ILHPTOT","ILHPTOT.CBL"
"DBM","ILHTREG","ILHTREG","ILHTREG.CBL"
"DBM","ILHVEBI","ILHVEBI","ILHVEBI.CBL"
"DBM","ILHVEKK","ILHVEKK","ILHVEKK.CBL"
"DBM","ILHVEKO","ILHVEKO","ILHVEKO.CBL"
"DBM","ILHVEKT","ILHVEKT","ILHVEKT.CBL"
"DBM","ILHVERE","ILHVERE","ILHVERE.CBL"
"DBM","ILHVETT","ILHVETT","ILHVETT.CBL"
"DBM","ILVFATR","ILVFATR","ILVFATR.CBL"
"DBM","ILVFSKK","ILVFSKK","ILVFSKK.CBL"
"DBM","ILVLITR","ILVLITR","ILVLITR.CBL"
"DBM","ILVLKTO","ILVLKTO","ILVLKTO.CBL"
"DBM","ILVMKTO","ILVMKTO","ILVMKTO.CBL"
"DBM","ILVPTOT","ILVPTOT","ILVPTOT.CBL"
"DBM","ILVTREG","ILVTREG","ILVTREG.CBL"
"DBM","ILVVEBI","ILVVEBI","ILVVEBI.CBL"
"DBM","ILVVEKK","ILVVEKK","ILVVEKK.CBL"
"DBM","ILVVEKO","ILVVEKO","ILVVEKO.CBL"
"DBM","ILVVEKT","ILVVEKT","ILVVEKT.CBL"
"DBM","ILVVERE","ILVVERE","ILVVERE.CBL"
"DBM","ILVVETT","ILVVETT","ILVVETT.CBL"
"DBM","ILXKTAJ","ILXKTAJ","ILXKTAJ.CBL"
"DBM","ILXKTAJN","ILXKTAJN","ILXKTAJN.CBL"
"DBM","ILXLKTO","ILXLKTO","ILXLKTO.CBL"
"DBM","M3BIBANK","M3BIBANK","M3BIBANK.CBL"
"DBM","M3BIBATR","M3BIBATR","M3BIBATR.CBL"
"DBM","MSCS001","MSCS001","MSCS001.CBL"
"DBM","PAFTRAP","PAFTRAP","PAFTRAP.CBL"
"DBM","RKAQMFW","RKAQMFW","RKAQMFW.CBL"
"DBM","TRONP","TRONP","TRONP.CBL"
