"tabName","tabSchema","type","remarks","colCount","qualifiedName"
"VASK_KUNDER","ASK","T",,"5","ASK.VASK_KUNDER"
"EXPLAIN_INSTANCE","DB2ADMIN","T",,"23","DB2ADMIN.EXPLAIN_INSTANCE"
"EXPLAIN_STATEMENT","DB2ADMIN","T",,"16","DB2ADMIN.EXPLAIN_STATEMENT"
"JOBJECT_TABLE","DBE","T","DB2 Forms saved forms (JAVA) table","8","DBE.JOBJECT_TABLE"
"JOBJECT_TABLE_X","DBE","T","DB2 Forms saved forms (JAVA) table","9","DBE.JOBJECT_TABLE_X"
"JOBJECT_VIEW","DBE","V",,"8","DBE.JOBJECT_VIEW"
"JOBJECT_VIEW_X","DBE","V",,"9","DBE.JOBJECT_VIEW_X"
"OBJECT_TABLE","DBE","T","DB2 Forms saved object table","8","DBE.OBJECT_TABLE"
"OBJECT_TABLE_X","DBE","T","DB2 Forms saved extended object table","9","DBE.OBJECT_TABLE_X"
"OBJECT_VIEW","DBE","V",,"8","DBE.OBJECT_VIEW"
"OBJECT_VIEW_X","DBE","V",,"9","DBE.OBJECT_VIEW_X"
"AD_BRUKER","DBM","T",,"9","DBM.AD_BRUKER"
"AKTIVISER","DBM","T","PROGRAM ELLER FUNKSJONALITET AV ELLER På","3","DBM.AKTIVISER"
"BANKTERM_ID","DBM","T","","10","DBM.BANKTERM_ID"
"BANKTERM_MASKIN","DBM","T","","5","DBM.BANKTERM_MASKIN"
"BARE_SENTRALT","DBM","T",,"1","DBM.BARE_SENTRALT"
"DBQA_APPLICATION_SYSTEM","DBM","T","Master table for application system mappings and configurations","3","DBM.DBQA_APPLICATION_SYSTEM"
"FK_LOG","DBM","T",,"13","DBM.FK_LOG"
"KUN_ADR2","DBM","T",,"2","DBM.KUN_ADR2"
"KUNDER","DBM","T","Dummy KUNDEREGISTER i FKKONTO","109","DBM.KUNDER"
"KUNDER_M_AKTIV_KONTO","DBM","T","Dummy tabell i FKKONTO","6","DBM.KUNDER_M_AKTIV_KONTO"
"LAGERSTED","DBM","T",,"5","DBM.LAGERSTED"
"M3_FZLBAL","DBM","T",,"57","DBM.M3_FZLBAL"
"M3_FZLEDG","DBM","T",,"57","DBM.M3_FZLEDG"
"M3_ZACHOL","DBM","T",,"13","DBM.M3_ZACHOL"
"M3_ZCUSAC","DBM","T",,"23","DBM.M3_ZCUSAC"
"OPPSTART","DBM","T",,"8","DBM.OPPSTART"
"OVFNR","DBM","T","Dummytabell for å kunne kjøre et program både mot basispro og FKKONTO","18","DBM.OVFNR"
"PRINT_DEF","DBM","T",,"3","DBM.PRINT_DEF"
"PRINT_LOKAL","DBM","T",,"4","DBM.PRINT_LOKAL"
