"tabName","tabSchema","type","remarks","colCount","qualifiedName"
"EXPLAIN_ARGUMENT","ASK","T",,"12","ASK.EXPLAIN_ARGUMENT"
"EXPLAIN_INSTANCE","ASK","T",,"24","ASK.EXPLAIN_INSTANCE"
"EXPLAIN_OBJECT","ASK","T",,"45","ASK.EXPLAIN_OBJECT"
"EXPLAIN_OPERATOR","ASK","T",,"22","ASK.EXPLAIN_OPERATOR"
"EXPLAIN_PREDICATE","ASK","T",,"16","ASK.EXPLAIN_PREDICATE"
"EXPLAIN_STATEMENT","ASK","T",,"17","ASK.EXPLAIN_STATEMENT"
"EXPLAIN_STREAM","ASK","T",,"22","ASK.EXPLAIN_STREAM"
"LOSTUEN","ASK","T","SAMVIRKE SPESIAL","2","ASK.LOSTUEN"
"M3_CIDMAS","ASK","T",,"40","ASK.M3_CIDMAS"
"AARSAK","BUT","V",,"2","BUT.AARSAK"
"A_ORDREHODE","CRM","V",,"12","CRM.A_ORDREHODE"
"A_ORDREHODE_MASKIN","CRM","V",,"28","CRM.A_ORDREHODE_MASKIN"
"A_ORDREHODE_MASKIN2","CRM","V",,"30","CRM.A_ORDREHODE_MASKIN2"
"A_ORDREHODE_NY","CRM","V",,"16","CRM.A_ORDREHODE_NY"
"A_ORDREHODE_U","CRM","V",,"13","CRM.A_ORDREHODE_U"
"A_ORDRELINJER","CRM","V",,"14","CRM.A_ORDRELINJER"
"A_ORDRELINJER_MASKIN","CRM","V",,"18","CRM.A_ORDRELINJER_MASKIN"
"A_ORDRELINJER_MASKIN2","CRM","V",,"21","CRM.A_ORDRELINJER_MASKIN2"
"A_ORDRELINJER_NY","CRM","V",,"15","CRM.A_ORDRELINJER_NY"
"AH_ORDREHODE_MASKIN","CRM","V",,"29","CRM.AH_ORDREHODE_MASKIN"
"AH_ORDRELINJER_MASKIN","CRM","V",,"16","CRM.AH_ORDRELINJER_MASKIN"
"AH_ORDRELINJER_MASKIN2","CRM","V",,"21","CRM.AH_ORDRELINJER_MASKIN2"
"FRAKTRATER","CRM","V",,"6","CRM.FRAKTRATER"
"KRAFTFOR_BULK","CRM","V",,"10","CRM.KRAFTFOR_BULK"
"KREDITT","CRM","V",,"2","CRM.KREDITT"
"KRETS","CRM","V",,"2","CRM.KRETS"
"KUNDEGR","CRM","V",,"2","CRM.KUNDEGR"
"KUNDER","CRM","V",,"44","CRM.KUNDER"
"KUNDER_U","CRM","V",,"13","CRM.KUNDER_U"
"KUNDER2018","CRM","V",,"54","CRM.KUNDER2018"
"LAND_NAVN","CRM","V",,"2","CRM.LAND_NAVN"
"MARKEDSREGISTER","CRM","V",,"52","CRM.MARKEDSREGISTER"
"MAS_MASKIN","CRM","V",,"91","CRM.MAS_MASKIN"
"MAX_TID_A_ORDRE","CRM","V",,"3","CRM.MAX_TID_A_ORDRE"
"MAX_TID_ORDRE","CRM","V",,"3","CRM.MAX_TID_ORDRE"
"MEDLEM","CRM","V",,"2","CRM.MEDLEM"
"MOTTAK_KORN","CRM","V",,"6","CRM.MOTTAK_KORN"
"MOTTAK_KORNBEL","CRM","V",,"5","CRM.MOTTAK_KORNBEL"
"ORDREHODE","CRM","V",,"13","CRM.ORDREHODE"
"ORDRELINJER","CRM","V",,"14","CRM.ORDRELINJER"
