"tabName","tabSchema","type","remarks","colCount","qualifiedName"
"B_PROGRAMMER","DBM","T",,"1","DBM.B_PROGRAMMER"
"CALL","DBM","T",,"3","DBM.CALL"
"COBDOK_MENY","DBM","T","Til bruk i cobdok","8","DBM.COBDOK_MENY"
"COPY","DBM","T",,"3","DBM.COPY"
"COPYSET","DBM","T",,"8","DBM.COPYSET"
"DBQA_APPLICATION_SYSTEM","DBM","T","Master table for application system mappings and configurations","3","DBM.DBQA_APPLICATION_SYSTEM"
"DELSYSTEM","DBM","T",,"3","DBM.DELSYSTEM"
"DOHCHK","DBM","T",,"9","DBM.DOHCHK"
"FEILHANDTERT","DBM","T",,"4","DBM.FEILHANDTERT"
"MODKOM","DBM","T",,"4","DBM.MODKOM"
"MODUL","DBM","T",,"12","DBM.MODUL"
"MODUL_LINJER","DBM","T",,"5","DBM.MODUL_LINJER"
"SQLFEIL","DBM","T",,"10","DBM.SQLFEIL"
"SQLLINJER","DBM","T",,"4","DBM.SQLLINJER"
"SQLXTAB","DBM","T",,"5","DBM.SQLXTAB"
"SYSTEM","DBM","T",,"6","DBM.SYSTEM"
"TABCREATOR","DBM","T",,"1","DBM.TABCREATOR"
"TILTP_LOG","DBM","T",,"4","DBM.TILTP_LOG"
"Z_AVDTAB","DBM","T","AVDELINGSTABELL","28","DBM.Z_AVDTAB"
"DSQ_RESERVED_OBJ","Q","V","Default view for QMF control table detection","2","Q.DSQ_RESERVED_OBJ"
"OBJ_ACTIVITY_DTL","Q","T","Detailed object tracking table for QMF","16","Q.OBJ_ACTIVITY_DTL"
"OBJ_ACTIVITY_SUMM","Q","T","Summary object tracking table for QMF","27","Q.OBJ_ACTIVITY_SUMM"
"OBJECT_DATA","Q","T","QMF saved item data table","5","Q.OBJECT_DATA"
"OBJECT_DATA2","Q","T","QMF saved item data table","5","Q.OBJECT_DATA2"
"OBJECT_DIRECTORY","Q","T","QMF saved item directory table","10","Q.OBJECT_DIRECTORY"
"OBJECT_REMARKS","Q","T","QMF saved item comments table","4","Q.OBJECT_REMARKS"
"RAA_OA_DTL_X","Q","T","Detailed extended object tracking table for QMF","18","Q.RAA_OA_DTL_X"
"RAA_OA_SUMM_X","Q","T","Summary extended object tracking table for QMF","29","Q.RAA_OA_SUMM_X"
"RAA_OBJ_DATA_X","Q","T","QMF item extended data table","7","Q.RAA_OBJ_DATA_X"
"RAA_OBJ_DATA2_X","Q","T","QMF item extended data table","7","Q.RAA_OBJ_DATA2_X"
"RAA_OBJ_DIR_X","Q","T","QMF item extended directory table","14","Q.RAA_OBJ_DIR_X"
"RAA_OBJ_REM_X","Q","T","QMF item extended comments table","6","Q.RAA_OBJ_REM_X"
"RAA_OBJECT_VIEW","Q","V","QMF object list view","11","Q.RAA_OBJECT_VIEW"
"RAA_OBJECT_VIEW_X","Q","V","QMF extended object list view","15","Q.RAA_OBJECT_VIEW_X"
"RAA_SERVER_INFO","Q","T","QMF server information table","2","Q.RAA_SERVER_INFO"
"RAA_SQLJ_PROFILES","Q","T","QMF SQLJ profile table","5","Q.RAA_SQLJ_PROFILES"
"RAA_SUBTYPE","Q","T","QMF saved item subtype table","4","Q.RAA_SUBTYPE"
"RC_NODE","Q","T","QMF Report Center public favorites table","7","Q.RC_NODE"
"RC_NODE_AUTH","Q","T","QMF Report Center public favorites authorization table","7","Q.RC_NODE_AUTH"
"RC_NODE_AUTH_X","Q","T","QMF Report Center public favorites authorization catalog table","8","Q.RC_NODE_AUTH_X"
"RC_NODE_X","Q","T","QMF Report Center public favorites catalog table","8","Q.RC_NODE_X"
"ADMIN_VIEW","RDBI","V","Administrator authorization ID view for RDBI","1","RDBI.ADMIN_VIEW"
"AUTHID_TABLE","RDBI","T","Secondary authorization ID table for RDBI","2","RDBI.AUTHID_TABLE"
"AUTHID_TABLE_X","RDBI","T","Extended secondary authorization ID table for RDBI","3","RDBI.AUTHID_TABLE_X"
"AUTHID_VIEW","RDBI","V","Secondary authorization ID view for RDBI","2","RDBI.AUTHID_VIEW"
"AUTHID_VIEW_X","RDBI","V","Extended secondary authorization ID view for RDBI","3","RDBI.AUTHID_VIEW_X"
